x[0],x[1],x[2]
0.7279311074137367,0.005665318997699755,0.025237941886296276
0.23751118044189629,0.027146740730488922,0.0026724377414911876
0.009645662590507219,0.0010264565030404188,0.39723808233016095
0.2596325383278961,0.0427621335014195,0.08627114261737344
0.0028080100158126603,0.09210167039640466,0.009147665996527242
0.004435105373713643,0.0161217539432629,0.2086793688995757
0.16067279542393823,0.06569289512995459,0.8048318900642828
0.1229139007398564,0.01441569700667453,0.016124039586286273
0.006485453536399344,0.1291688869346225,0.007719939659829802
0.07400102427017882,0.9776002260455569,0.09254064019002164
0.03042916995843496,0.010461057754714774,0.053973007494540176
0.001082144476957742,0.004545896556357899,0.04212140481948943
0.4223954273042263,0.20364908347872357,0.015714965078524996
0.003700850440886396,0.0023102754460655917,0.0010914775462216345
0.508640203285589,0.42212124952360897,0.004103289333755054
0.019596513230205573,0.001477367759458076,0.29594257246290073
0.014134809887136831,0.32630144592669197,0.003058234654240312
0.06254185079604233,0.04772162545119505,0.5967499528914179
0.0017812501307305508,0.0035933910821752697,0.0016765572395804726
0.04051609746819914,0.5462213467829613,0.16683174042122442
