nI,KI,v0,tau0,v1,tau1,v2,tau2,K0_0,n0_0,K0_1,n0_1,K0_2,n0_2,K1_0,n1_0,K1_1,n1_1,K1_2,n1_2,K2_0,n2_0,K2_1,n2_1,K2_2,n2_2
1,0.4,0.034724889101435424,28.797788153588748,0.18212011005293596,5.490881812608914,0.22166717213486067,4.511267908410034,0.0022418957396811968,3.0,0.08328145582161908,2.0,0.023414548200334076,4.0,0.0636986847196023,3.0,0.015970248571932875,3.0,0.488665920290226,3.0,0.18440473876774222,3.0,0.15519326260019323,3.0,0.0018428238342972866,2.0
1,0.4,0.12584016040667786,7.946588726272267,0.019545770626938058,51.16196332631654,0.09493339284765875,10.533701261522562,0.005930566562079819,2.0,0.07451814204772007,2.0,0.11607155484388923,2.0,0.014110722899684996,4.0,0.004692844321912591,2.0,0.004956625720475164,3.0,0.003228401455635546,1.0,0.4576302623339236,3.0,0.006988470259637054,2.0
1,0.4,0.04034982299188607,24.78325617936638,0.09256124968153122,10.803657075078691,0.07820072669481307,12.78760495286201,0.16252675286407417,4.0,0.9298564550877128,2.0,0.0069506686455788405,2.0,0.00911404361765282,1.0,0.14066673263408203,4.0,0.001499427434883311,2.0,0.04334199711606404,3.0,0.014407187372877077,4.0,0.13173967442071463,3.0
1,0.4,0.10662879532942249,9.378329717695555,0.17648907975801523,5.6660729455392,0.055044803162506456,18.16701927423997,0.37920381325106484,1.0,0.12485871274994093,2.0,0.003263253914051167,3.0,0.004085538916323974,3.0,0.030052003777860936,3.0,0.0015002332221303954,3.0,0.007958539533259906,2.0,0.0028107556484586343,2.0,0.3307851727664529,2.0
1,0.4,0.31350019086104935,3.189790721509396,0.06112834821016919,16.359022111342476,0.06981522778834628,14.323522699540948,0.8240221773023949,4.0,0.5528965678586769,3.0,0.008209323680204932,2.0,0.0017133149683159258,2.0,0.03942330365103244,4.0,0.001818173606207367,2.0,0.05753398213499022,3.0,0.023834784072120255,1.0,0.03532001465941638,3.0
1,0.4,0.09339778017345389,10.706892585057673,0.8033511292166483,1.2447857028284817,0.027640129889415593,36.17928005406864,0.24621641894405802,2.0,0.0034694827440306577,2.0,0.03561405581491451,1.0,0.04915580389996972,4.0,0.0019809227343151104,1.0,0.203865305325782,3.0,0.34554289853183523,2.0,0.0028055566096656416,4.0,0.14043912573311756,3.0
1,0.4,0.034661730100662425,28.85026215067346,0.02608416854997041,38.337430540837936,0.029067909857300653,34.402198331740095,0.0020957434558631135,4.0,0.23786979328022773,1.0,0.004379204447587357,4.0,0.006657834237349329,3.0,0.4971068231459563,2.0,0.0021801729679718387,4.0,0.037965631411446606,4.0,0.6430638943171082,3.0,0.5363272736911436,1.0
1,0.4,0.08423491616799067,11.871561645597039,0.03312872233948062,30.185287248710654,0.05179512637799315,19.30683579574936,0.007424768437341741,2.0,0.00866724594768103,2.0,0.04135375823832356,4.0,0.054830600860187616,1.0,0.32695334162720535,2.0,0.10632653995267236,4.0,0.011808353538104317,4.0,0.10201091624598482,4.0,0.0017941301959731044,2.0
1,0.4,0.8917351660555026,1.121409178493426,0.08946791106483298,11.177191778573542,0.023328994029371827,42.86511448976211,0.968839741049124,2.0,0.255517662618762,2.0,0.7472055861827213,2.0,0.03690269712807274,3.0,0.0072492192370431354,2.0,0.12849644876352495,2.0,0.030501034848095167,4.0,0.013669841761048135,3.0,0.03929638692547524,3.0
1,0.4,0.041543518589006324,24.07114356136002,0.2423024015741771,4.127074240714307,0.025887293373386328,38.62899012177377,0.016688935977571182,2.0,0.10239796083663466,4.0,0.003973477422811156,3.0,0.020596445426173303,3.0,0.11013816152918793,1.0,0.34077389772253874,2.0,0.016813233959155714,2.0,0.0018947522611057822,3.0,0.00610380250573603,4.0
