x[0],x[1],x[2]
0.9995511354638281,0.18914309206317098,0.010600296346348447
0.0011820796301685035,0.0519052704213716,0.027906678465479274
0.009643435458778897,0.00680586565192847,0.01150375384889538
0.18520816069715793,0.11468340017406638,0.0012450361914455547
0.0037391650562685614,0.01604853140079683,0.007830614695848972
0.13939500246799283,0.002097844090337541,0.05357093591915812
0.03351097500927522,0.01350212349000641,0.4717256304780752
0.02894188536837596,0.010442327014991924,0.10402255373028668
0.0161063556202389,0.038383094853957876,0.2250539753598079
0.01193074983580171,0.364687997279828,0.1557371889781309
0.04936073276015785,0.6688634496767235,0.0036220178240777626
0.2691364219816367,0.005134941165649323,0.004516126132330683
0.0050078743933461645,0.0256576809086108,0.03923853703592002
0.453137706360754,0.0032531331811514424,0.021148716458355372
0.6403502022046791,0.9116870583113037,0.6345102398911893
0.10556782999835825,0.0010038178134410608,0.002624266166441843
0.00210247097837258,0.07086472158104348,0.0751294958940367
0.0019944674871412113,0.0016786911004555288,0.0014958806540772119
0.00623894506781999,0.3007723483216861,0.7110588843062523
0.07822414271535108,0.13385749420035825,0.33472726603260916
