nI,KI,v0,tau0,v1,tau1,v2,tau2,K0_0,n0_0,K0_1,n0_1,K0_2,n0_2,K1_0,n1_0,K1_1,n1_1,K1_2,n1_2,K2_0,n2_0,K2_1,n2_1,K2_2,n2_2
1,0.4,0.15378580840297496,6.502550595433585,0.1969816129682516,5.07661595887721,0.5714530768347947,1.7499249554116878,0.0038943720587115253,2.0,0.025768142325695374,2.0,0.8786870241129474,2.0,0.7479965598237254,3.0,0.0019033577607839166,2.0,0.01325916281202499,4.0,0.003372013354392645,1.0,0.0012110604647430582,1.0,0.007609215650597057,3.0
1,0.4,0.4488947340335698,2.227693764670487,0.7576583014925302,1.3198561911485358,0.06500323140961999,15.383850591956994,0.161393751866543,2.0,0.0256818633962656,1.0,0.0019611971464950978,1.0,0.009116949621987206,2.0,0.003342697243394472,4.0,0.0025804088572902065,2.0,0.22725709337429745,4.0,0.034856976244803564,2.0,0.023603630138370447,4.0
1,0.4,0.038673600758579035,25.857431953195313,0.011102471244214453,90.07003738209224,0.010567760194863203,94.62743112642563,0.24088836471649933,1.0,0.09481040628764974,3.0,0.013210985627271956,1.0,0.034679852792832436,3.0,0.8589363642413308,3.0,0.04876536272347703,2.0,0.2477062152740221,2.0,0.08491370074136592,1.0,0.0957968201329826,3.0
1,0.4,0.13150735532289937,7.60413740771099,0.034783399606548755,28.749346277576834,0.19891496677490064,5.027273795498939,0.002716268211720097,4.0,0.07687589518304684,2.0,0.15684239586328294,3.0,0.001521636220885051,1.0,0.024684719799386808,1.0,0.04561413971159208,1.0,0.003001553882951899,3.0,0.10866580893730572,2.0,0.001726754037431394,2.0
1,0.4,0.5660323738751434,1.7666834021415567,0.05172520457880518,19.332934652321473,0.07990749275450403,12.514470990502133,0.014919266722746408,4.0,0.018526538862192767,4.0,0.48601302549968795,3.0,0.053880269876975834,1.0,0.12599654527037352,1.0,0.03175487527458818,2.0,0.002232160592471696,4.0,0.14366260814328985,1.0,0.016051623776199207,3.0
1,0.4,0.06748575805938628,14.81794127762509,0.8776531324019631,1.1394023026650606,0.387409543005867,2.5812477210579603,0.001136417798311009,2.0,0.10751959234251854,3.0,0.004894605610069763,2.0,0.3440055471501598,1.0,0.3085588554207366,2.0,0.8933348830091257,2.0,0.8201766486307871,1.0,0.002337465501493507,3.0,0.3392661387902,1.0
1,0.4,0.015544547178272462,64.33124030771121,0.02034253124930241,49.15809088577864,0.05841580436986591,17.118654973376607,0.036185715766789944,3.0,0.12152704063703135,3.0,0.0014046875476847525,3.0,0.09506974763008112,4.0,0.016502600073496097,3.0,0.03325434718743559,3.0,0.6722741288550612,1.0,0.554639525087695,2.0,0.4943299026085407,2.0
1,0.4,0.0731375511133628,13.672866875867985,0.032523478241815874,30.7470188940089,0.010490288648542487,95.32626160281482,0.015102827723867273,3.0,0.006131149708100517,3.0,0.02326913984492116,1.0,0.09043720532545421,4.0,0.0021789367044246803,1.0,0.01628295938771536,4.0,0.003106123776755678,4.0,0.07400497222936307,2.0,0.4069295381785288,1.0
1,0.4,0.03482073244709206,28.71852283749166,0.15694824518868636,6.371527115819484,0.010138441402304233,98.63449028493898,0.02731546890054479,4.0,0.00875768738929129,3.0,0.06732486496453241,4.0,0.7792659772896217,1.0,0.04159063031353782,1.0,0.05615883889812491,3.0,0.07897057176508791,2.0,0.13873337952859116,3.0,0.005767147052454075,1.0
1,0.4,0.18953002181899237,5.276208963638669,0.01600027945171085,62.49890841081991,0.22469869295838502,4.450404169396764,0.0011873343792303944,4.0,0.5695902431312847,4.0,0.476801044666478,3.0,0.02848343148235288,3.0,0.6469089441980042,2.0,0.01368487813496962,3.0,0.1887321681165507,3.0,0.0023056244506144082,1.0,0.019288421489033414,1.0
