F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,id
True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,3
True,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,15
True,True,True,True,False,False,False,True,False,True,True,True,False,True,True,True,False,False,False,False,64
True,True,True,True,False,True,False,True,True,True,False,False,False,True,True,True,False,False,False,False,94
True,True,True,True,False,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,117
True,True,True,True,False,True,False,True,False,False,True,False,True,True,True,True,False,False,False,False,154
True,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,False,False,False,False,257
True,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,False,False,False,False,334
True,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,338
True,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,531
True,True,True,True,False,True,False,True,False,True,False,False,False,True,True,True,False,True,False,False,588
True,True,True,True,False,True,False,True,False,False,True,False,True,True,True,True,False,False,False,False,591
True,True,True,True,False,False,True,True,False,True,False,False,True,True,True,True,False,False,False,False,618
True,True,True,True,True,False,False,True,True,True,False,False,False,True,False,True,False,True,False,False,816
True,True,True,True,True,True,False,True,False,True,True,False,False,True,True,False,False,False,False,False,887
True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,1216
True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,1320
True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,1350
True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,1351
True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,1361
True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,1435
True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,1556
True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,1564
True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,1675
True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,1718
True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,1734
True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,False,False,False,False,False,1737
