F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,id
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,303
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,309
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2048
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2187
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2200
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2255
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2280
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3739
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3765
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5633
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5653
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5655
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5714
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5737
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5790
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5792
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6103
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7383
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7542
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7546
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7563
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7566
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7576
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7617
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7644
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7650
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7654
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7682
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7732
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7733
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7776
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7815
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7861
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7923
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9086
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9109
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9191
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9197
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9275
