F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,id
True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,399
True,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,1129
True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2353
True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2368
True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,3028
True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,3217
True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,4477
True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,4894
True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5255
True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5762
True,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,6306
True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,6469
True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6539
True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,6835
True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,6913
True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,7388
True,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,7465
True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,7638
True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,7677
True,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,7838
True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,7913
True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,8077
True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,8539
True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,8562
True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,8834
True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,8999
True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,9013
True,True,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,10482
True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,10601
True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,10678
True,True,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,11144
True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,11321
True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,11769
True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,11775
True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12257
True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,12810
True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,13973
True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,14385
True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,14532
True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,14936
True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,15155
True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,15258
